Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
3=Very often,45,Married,"INR 10,001 to 20,000",Grade 1-5,4,24,31 or above,Employee,3-5,More than 15,Gas,1-4,Toll plaza,Always,Fixed monthly salary (time based),Overweight,More than 5 times,4-6,6,Often (once or twice in weekly trips),Yes,Sometimes (once or twice in a monthly trip),Vehicle heat,Smoke/chew tobacco or drug
1=Rarely,29,Married,"INR 20,001 to 30,000",Grade 9-10,4,12,31 or above,Employee,Upto 2,6-10,Construction,upto 1,Fuel stop,Always,On completion of work (on delivery),Overweight,1-5 times,1-3,5,Often (once or twice in weekly trips),No,Often (once or twice in weekly trips),Poor sleep,Stop the vehicle and take rest
3=Very often,51,Married,"INR 10,001 to 20,000",Grade 11-12,4,25,16-25,Employee,3-5,6-10,Construction,1-4,Hotel,Sometimes,On completion of work (on delivery),Overweight,0,4-6,6,Sometimes (once or twice in montly trips),Yes,Sometimes (once or twice in a monthly trip),Vehicle heat,Stop the vehicle and take rest
3=Very often,28,Married,"INR 20,001 to 30,000",Grade 11-12,6,7,16-25,Employee,3-5,6-10,Food,1-4,Hotel,Never,On completion of work (on delivery),Overweight,1-5 times,Above 6,6,Sometimes (once or twice in montly trips),No,Sometimes (once or twice in a monthly trip),Poor sleep,Stop the vehicle and take rest
3=Very often,39,Single,"INR 30,000 and above",Any degree,2,10,3-9,Employee,3-5,More than 15,All goods/ parcel service,upto 1,Parking bays,Never,On basis of Km driven (trip length),Overweight,0,4-6,7,Sometimes (once or twice in montly trips),No,Sometimes (once or twice in a monthly trip),Poor sleep,Stop the vehicle and take rest
1=Rarely,53,Married,"INR 20,001 to 30,000",No schooling,6,27,16-25,Employee,3-5,6-10,Raw materials,1-4,Parking bays,Never,On basis of Km driven (trip length),Overweight,More than 5 times,4-6,4,Never,No,Sometimes (once or twice in a monthly trip),Heavy traffic,Take a brief stop for tea/snack/refreshment
3=Very often,54,Married,"INR 20,001 to 30,000",Grade 1-5,4,20,31 or above,Employee,3-5,6-10,Food,4-5,Fuel stop,Sometimes,On completion of work (on delivery),Overweight,0,1-3,5,Often (once or twice in weekly trips),Yes,Sometimes (once or twice in a monthly trip),Poor sleep,Take a brief stop for tea/snack/refreshment
3=Very often,34,Married,"INR 20,001 to 30,000",Grade 5-8,4,15,25-31,Employee,More than 10,9-15,All goods/ parcel service,1-4,Fuel stop,Never,On completion of work (on delivery),Overweight,0,0,5,Sometimes (once or twice in montly trips),No,Sometimes (once or twice in a monthly trip),Poor sleep,Take a brief stop for tea/snack/refreshment
1=Rarely,46,Single,"INR 20,001 to 30,000",Grade 5-8,4,24,9-16,Employee,6-10,6-10,Food,1-4,Fuel stop,Always,Fixed monthly salary (time based),Overweight,0,1-3,2,Never,No,Never,Heavy traffic,Wash face and drink water
3=Very often,46,Married,"INR 10,001 to 20,000",Grade 11-12,5,16,16-25,Employee,More than 10,More than 15,All goods/ parcel service,4-5,Parking bays,Never,On completion of work (on delivery),Overweight,0,4-6,4,Never,Yes,Sometimes (once or twice in a monthly trip),Poor sleep,Wash face and drink water
1=Rarely,42,Married,"INR 10,001 to 20,000",Grade 5-8,4,20,31 or above,Employee,3-5,6-10,Food,4-5,Parking bays,Sometimes,On completion of work (on delivery),Overweight,1-5 times,1-3,8,Sometimes (once or twice in montly trips),Yes,Sometimes (once or twice in a monthly trip),Poor sleep,Wash face and drink water
3=Very often,46,Married,"INR 10,001 to 20,000",Grade 5-8,4,25,31 or above,Employee,More than 10,9-15,Raw materials,4-5,Fuel stop,Sometimes,On completion of work (on delivery),Overweight,1-5 times,Above 6,4,Sometimes (once or twice in montly trips),Yes,Sometimes (once or twice in a monthly trip),Long driving time,Smoke/chew tobacco or drug
